% Model:              shifted-lattice-Si-orthotrope_alp00.mph
% Version:            COMSOL 6.0.0.318
% Date:               Sep 22 2022, 16:28
% Dimension:          1
% Nodes:              861
% Expressions:        50
% Description:        Global
% X,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
3926990.8169872416,8.340014055826875E8,1.2440166626391773E9,4.0354236461224914E9,9.317667264467289E9,1.0488728940320972E10,1.411868309819309E10,1.659632682023427E10,1.7620337333236027E10,1.7675297958956894E10,1.805228210397321E10,1.9194456502698483E10,2.036996703832927E10,2.1397833856176254E10,2.189543896946575E10,2.229599564001207E10,2.3266192050488285E10,2.3434801247140587E10,2.454424159009281E10,2.485244430363612E10,2.716842490216538E10,2.725726425787743E10,2.8378833192847153E10,2.8389470767555466E10,2.8565658820807026E10,2.8982887797384113E10,3.033673807759922E10,3.0918941674575172E10,3.155047920101394E10,3.2358790936908787E10,3.300513692011898E10,3.408307244486925E10,3.456088228352124E10,3.4761525239804436E10,3.553061263346958E10,3.567897398266564E10,3.609833794833385E10,3.625372669611143E10,3.678605149956804E10,3.69933651521994E10,3.89990786837137E10,3.912147396966051E10,3.996663793469387E10,4.059260045098013E10,4.06215121976274E10,4.065635079245824E10,4.104226261415233E10,4.13400743379743E10,4.173354313937666E10,4.176321357161927E10,4.224612708394626E10
4319689.898685967,9.90067597660861E8,1.3707055754387572E9,4.427837176996923E9,9.416911730351973E9,1.051329709305888E10,1.3919662713821596E10,1.6552879970360369E10,1.7488540078121178E10,1.7534997362389812E10,1.8082840826584877E10,1.9220514392573383E10,2.0389413674091328E10,2.1610197249784008E10,2.195343801036966E10,2.235816864451036E10,2.345417303792628E10,2.346188289345145E10,2.457539154024916E10,2.467046528087939E10,2.713400638382725E10,2.7212334289874268E10,2.8338719223888783E10,2.8426790516259476E10,2.872825930868047E10,2.9082480137830692E10,3.0443884766176964E10,3.0925088233374447E10,3.1577819960721035E10,3.2395737589243465E10,3.3013123768256786E10,3.4014524708506477E10,3.422738456246799E10,3.464257733334431E10,3.551625256032502E10,3.568241452262727E10,3.609727209363587E10,3.625437151132052E10,3.667407688817523E10,3.710302311041233E10,3.888453363835814E10,3.906636920242111E10,3.998690709544204E10,4.048003782358012E10,4.048859221087355E10,4.059492215259687E10,4.111268311151324E10,4.128081943263472E10,4.173603229803406E10,4.180678175235984E10,4.227013309096829E10
4712388.980384691,1.1548951212961082E9,1.4979522083455331E9,4.816860294579655E9,9.516187412758383E9,1.0540364905599722E10,1.371530501235414E10,1.6508663597252684E10,1.7299304528407124E10,1.745146991291362E10,1.811592573119786E10,1.9245236403419846E10,2.0410814877791775E10,2.1829282769262882E10,2.200664997130959E10,2.242953483648096E10,2.3476309937460587E10,2.3657154346212257E10,2.44903273440887E10,2.4612620900161194E10,2.7097146356112026E10,2.716792203697118E10,2.8295666465587814E10,2.847113418821146E10,2.8884202017930603E10,2.9186727604256943E10,3.055559617232522E10,3.0933016286628162E10,3.1607479371973953E10,3.243615875489493E10,3.3023291675143295E10,3.3891118106097733E10,3.394536285340099E10,3.450658161429761E10,3.550320630893822E10,3.568671881907311E10,3.6080080680660645E10,3.62552005077823E10,3.658420862788814E10,3.721254460167004E10,3.8762039861249466E10,3.900810227370953E10,4.000254804793826E10,4.030760392822288E10,4.035075667207503E10,4.059614449850128E10,4.088558486515895E10,4.150755690712533E10,4.170543677534948E10,4.189107866790427E10,4.229261470615405E10
5105088.062083414,1.3274304983810666E9,1.625761471140635E9,5.202085321732838E9,9.613579466501663E9,1.056997215395005E10,1.3506920456871906E10,1.6464149000873602E10,1.710855986314353E10,1.7371271043635773E10,1.815155877569886E10,1.9268177989090633E10,2.0434181918778942E10,2.2053589874741608E10,2.205597964586478E10,2.2508442676498756E10,2.3501305879456688E10,2.384842634290282E10,2.4312277887207607E10,2.4658342847188843E10,2.705828951074905E10,2.7124195468359E10,2.824988416777288E10,2.852240115949538E10,2.9032524648352917E10,2.929542143384091E10,3.0671007761336124E10,3.0942988884073143E10,3.163941777447289E10,3.2479627184836544E10,3.303648518886673E10,3.3553276375769855E10,3.3876211326465324E10,3.43525407274935E10,3.54911445772944E10,3.569177872750073E10,3.604441661968152E10,3.625625248753688E10,3.652097738610496E10,3.732084298069835E10,3.86322330496578E10,3.8948336707893684E10,3.997245905136E10,4.018183588127471E10,4.0209070286442856E10,4.059613795188241E10,4.065345387053196E10,4.167087090267899E10,4.1727173917502266E10,4.198414965352562E10,4.2313722366555016E10
5497787.143782138,1.5066796765972958E9,1.7541248008339782E9,5.583076553334606E9,9.707201805513615E9,1.0602160352011002E10,1.3295627805323069E10,1.6419755589877132E10,1.6917088335492704E10,1.7295819515496704E10,1.8189761038676765E10,1.9288991859583527E10,2.0459531668726116E10,2.2102829344509632E10,2.228168263486128E10,2.2592871493920357E10,2.352920785129931E10,2.4030557308243885E10,2.4136680433455494E10,2.4716689111637745E10,2.7017866103417973E10,2.7081276531530518E10,2.8201591462936058E10,2.8580423452457367E10,2.9172257848697857E10,2.9408379408256325E10,3.0789103789480198E10,3.095523954381525E10,3.1673602977143307E10,3.252534262037671E10,3.3053942977451645E10,3.321508380617315E10,3.3807596709207375E10,3.4180316593592533E10,3.547977178688929E10,3.5697575388969635E10,3.599349592887449E10,3.6257572574131615E10,3.648239592068235E10,3.7426648405336044E10,3.849578875655035E10,3.888801306769295E10,3.983551373357097E10,4.006483184455498E10,4.016535839946187E10,4.041818903948895E10,4.05947612032881E10,4.163165725721979E10,4.192997967654982E10,4.2084340183706154E10,4.2120114969138695E10
5890486.225480862,1.6917095300961509E9,1.883018280792794E9,5.959367192973398E9,9.795224750700039E9,1.0636972275908749E10,1.3082392080213379E10,1.6375853371579617E10,1.6725530271578781E10,1.7226427358820877E10,1.8230550823370907E10,1.9307425194324543E10,2.0486892273478664E10,2.214861983804131E10,2.2511983475374027E10,2.2680895419658646E10,2.356000983354149E10,2.3964185157889637E10,2.4196141320361538E10,2.479416468178659E10,2.6976273699020428E10,2.7039255314052082E10,2.815101768218336E10,2.864499438744353E10,2.930247675635563E10,2.952542531548658E10,3.0908460774544598E10,3.096994189001044E10,3.171001032612405E10,3.257197787639743E10,3.287812490239326E10,3.307742725263974E10,3.3739966515608913E10,3.399070863995522E10,3.54688206922339E10,3.570413155274841E10,3.593482478133424E10,3.625921336627065E10,3.64611849924862E10,3.752838584474318E10,3.835342299137324E10,3.882721005010523E10,3.965350459451591E10,3.991969029728468E10,4.018052402424247E10,4.01981286664971E10,4.059183834175101E10,4.158702615960142E10,4.187772943154718E10,4.216120711103356E10,4.2190382217166916E10
6283185.307179587,1.8816460769976296E9,2.0124005038361928E9,6.330456220954604E9,9.875906652525269E9,1.067445142384452E10,1.2868056975061117E10,1.6332766321288141E10,1.6534417310935322E10,1.716428315027163E10,1.8273942618128345E10,1.9323313574828403E10,2.0516308997715874E10,2.2194562909754017E10,2.2742192012431263E10,2.277089573613538E10,2.359364897094762E10,2.379627872885535E10,2.4336669974831863E10,2.489844820046052E10,2.6933867766698174E10,2.6998200175824047E10,2.809840344607324E10,2.871588552969102E10,2.942236815274035E10,2.9646369597293697E10,3.0987172176648273E10,3.1026564882586025E10,3.174862190183362E10,3.2545058874057583E10,3.2617587668199654E10,3.310928177505016E10,3.3673707128066074E10,3.378532226397364E10,3.545804448376009E10,3.571149493809171E10,3.587544660389909E10,3.626123637667689E10,3.644969181866984E10,3.762400047075765E10,3.8205891774513535E10,3.876479293992476E10,3.946388588718942E10,3.97758144643724E10,3.99410617098199E10,4.024521520127223E10,4.058712768653612E10,4.153617485237327E10,4.166610662528763E10,4.230126050050358E10,4.235214881080909E10
6675884.388878312,2.075670238271011E9,2.1422101271664813E9,6.695805249532841E9,9.947630071111383E9,1.0714641399316345E10,1.2653372151313105E10,1.6290776117495596E10,1.6344197358067099E10,1.7110427933985367E10,1.8319946508744934E10,1.933657271318503E10,2.0547849314798923E10,2.2241619443513466E10,2.286158804303489E10,2.2966831645695538E10,2.3630004171241528E10,2.3637710794553802E10,2.444775199601099E10,2.503314192444644E10,2.689095886308869E10,2.695816510334945E10,2.8044002776260933E10,2.879285393741249E10,2.9531307211005367E10,2.977098784714318E10,3.100686909030955E10,3.1137543937270897E10,3.178942457054072E10,3.222190457732898E10,3.2659751291208755E10,3.3152248844954227E10,3.3566312489526093E10,3.3609160688898556E10,3.544720779285594E10,3.57197318690001E10,3.581965277279691E10,3.626371379742742E10,3.644247373549538E10,3.771070927829541E10,3.805399037965368E10,3.869756283533921E10,3.927775205559955E10,3.9636138051579E10,3.970035535246653E10,4.029977393581853E10,4.058027602344985E10,4.144969593166526E10,4.1478368501969315E10,4.238776723526741E10,4.241613105897017E10
7068583.470577035,2.272363058064782E9,2.273011780118653E9,7.054835446167264E9,1.0008941888131836E10,1.0757585200979563E10,1.2439016202235111E10,1.615525343613745E10,1.6250125904786976E10,1.706572517391875E10,1.836856777843958E10,1.9347188995222275E10,2.0581606326071E10,2.229053431753226E10,2.2951972893650986E10,2.3159885231423767E10,2.351383530461253E10,2.3668897138527725E10,2.4533289423235756E10,2.519356984004005E10,2.6847814096657837E10,2.6919195138923412E10,2.798808664165134E10,2.8875641566620335E10,2.9628931647081684E10,2.989899232526499E10,3.1028799286076046E10,3.122246160958602E10,3.183240647723447E10,3.1927757576579174E10,3.269610478010115E10,3.320889327662777E10,3.333612368582285E10,3.3546641323811462E10,3.543607710942926E10,3.572892487216033E10,3.5769382109310974E10,3.626673060196613E10,3.6436203446848434E10,3.7784679086037056E10,3.789855295497502E10,3.861861801966749E10,3.9104672187158424E10,3.9458937553891106E10,3.950468027081956E10,4.035992025526014E10,4.057074753823903E10,4.12326517179593E10,4.1413095021085945E10,4.240450454870845E10,4.253426603021597E10
7461282.552275759,2.4027491995539255E9,2.472941897623819E9,7.406924636110329E9,1.0058595355715225E10,1.0803324395937674E10,1.2225616130932594E10,1.5967918085490477E10,1.6211023871795023E10,1.7030827572699768E10,1.841980652280598E10,1.9355209700111343E10,2.061769975214161E10,2.2341885176514793E10,2.3041272523451294E10,2.3190035560619495E10,2.3555350284253807E10,2.371009564253418E10,2.460151567093307E10,2.5370716329684845E10,2.6804660991388218E10,2.6881330464217278E10,2.7930948656827576E10,2.8963967447895706E10,2.971519648734763E10,3.0029987913851013E10,3.105253982776322E10,3.1210067570796246E10,3.173405068206554E10,3.1877551354953415E10,3.2725090093704716E10,3.3097312966189255E10,3.3280811311630474E10,3.348645146455447E10,3.542441061102528E10,3.5725187759863266E10,3.573917188810943E10,3.6270386899904274E10,3.642893584161111E10,3.774045319169282E10,3.784072561171921E10,3.851633690631965E10,3.895756241602614E10,3.9217338358605774E10,3.938684781065223E10,4.0424922130247795E10,4.05577097048655E10,4.101591799234347E10,4.134028432913119E10,4.242083272358038E10,4.26550124110713E10
